Course,Time,Cap,Quarter,Expertise
107,845-1045,45,Autumn,Programming
107,1315-1515,45,Winter,Programming
107,1315-1515,45,Spring,Programming
161,1430-1650,30,Summer,Programming
162,1800-2020,30,Summer,Programming
211,1530-1730,45,Winter,Teaching
225,1530-1730,30,Spring,Hardware
290,1530-1730,10,Winter,Teaching
295,1315-1515,10,Autumn,Teaching
295,1315-1515,10,Winter,Teaching
295,1315-1515,10,Spring,Teaching
301,900-1120,30,Summer,Writing
310,2000-2200,45,Autumn,Cybersecurity
332,1315-1715,90,Autumn,Programming
332,1315-1715,90,Winter,Programming
332,1315-1715,90,Spring,Programming
337,1745-1945,45,Winter,Cybersecurity
341,1315-1515,45,Autumn,Programming
350,1530-1730,60,Autumn,Software Engineering
370,1745-1945,60,Autumn,Software Engineering
371,1745-1945,45,Autumn,Teaching
371,1745-1945,45,Spring,Teaching
383,1745-1945,45,Autumn,Databases
385,1530-1730,45,Spring,Programming
411,1315-1515,45,Spring,Teaching
415,1530-1730,45,Spring,Cybersecurity
421,1745-1945,20,Winter,Hardware
422,1530-1730,45,Winter,Hardware
430,1145-1405,10,Summer,Operating Systems
430,1530-1730,60,Winter,Operating Systems
432,1745-1945,45,Winter,Networking
432,1745-1945,45,Spring,Networking
434,1530-1730,45,Spring,Programming
448,2000-2200,45,Spring,Programming
451,1530-1730,45,Winter,Graphics
455,1530-1730,45,Autumn,Scientific Computing
457,1100-1300,45,Autumn,Programming
458,2000-2200,45,Spring,Scientific Computing
473,1745-1945,45,Winter,Teaching
474,1745-1945,45,Autumn,Software Engineering
475,1800-2020,60,Summer,Databases
475,1745-1945,45,Autumn,Databases
475,1315-1515,45,Winter,Databases
475,1530-1730,45,Spring,Databases
480,1745-1945,45,Spring,Software Engineering
490,1800-2020,45,Summer,Capstone
495,,,Summer,Capstone
496,1745-1945,10,Spring,Capstone
497,,,Summer,Capstone
497,,,Autumn,Capstone
497,,,Winter,Capstone
497,,,Spring,Capstone
498,,,Summer,Capstone
498,,,Autumn,Capstone
498,,,Winter,Capstone
498,,,Spring,Capstone
499,,,Summer,Capstone
499,,,Autumn,Capstone
499,,,Autumn,Capstone
499,,,Winter,Capstone
499,,,Winter,Capstone
499,,,Spring,Capstone
499,,,Spring,Capstone
514,2000-2200,30,Winter,Cybersecurity
515,2000-2200,30,Autumn,Cybersecurity
517,1745-1945,30,Autumn,Software Engineering
519,1745-1945,30,Spring,Software Engineering
527,2000-2200,30,Autumn,Cybersecurity
533,1745-1945,30,Autumn,Programming
537,2000-2200,30,Winter,Cybersecurity
538,1745-1945,30,Winter,Cybersecurity
539,2000-2200,30,Spring,Cybersecurity
552,2000-2200,30,Winter,Graphics
553,1745-1945,30,Spring,Software Engineering
555,1745-1945,30,Winter,Software Engineering
565,1745-1945,30,Winter,Software Engineering
566,2000-2200,30,Spring,Software Engineering
572,2000-2200,30,Autumn,Software Engineering
577,1745-1945,30,Winter,Software Engineering
578,2000-2200,30,Spring,Cybersecurity
579,1745-1945,30,Autumn,Cybersecurity
590,1800-2020,30,Summer,Capstone
590,,,Autumn,Capstone
593,,,Winter,Capstone
593,,,Spring,Capstone
595,,,Winter,Capstone
595,,,Spring,Capstone
161A,1100-1300,45,Autumn,Programming
161A,1530-1730,45,Winter,Programming
161A,1100-1300,45,Spring,Programming
161B,1315-1515,45,Autumn,Programming
161B,1100-1300,45,Winter,Programming
161B,1530-1730,45,Spring,Programming
161C,845-1045,45,Winter,Programming
161C,2000-2200,45,Spring,Programming
162A,1315-1515,45,Autumn,Programming
162A,1100-1300,45,Winter,Programming
162A,1315-1515,45,Spring,Programming
162B,1745-1945,45,Autumn,Programming
162B,1745-1945,45,Winter,Programming
162B,1745-1945,45,Spring,Programming
205/405,1615-1705,20,Autumn,Teaching
205/405,1530-1620,20,Winter,Teaching
205/405,1315-1405,20,Spring,Teaching
301A,1315-1515,30,Winter,Writing
301A,1315-1515,30,Spring,Writing
"301A,D",1100-1300,60,Autumn,Writing
301B,1745-1945,30,Autumn,Writing
301B,1315-1515,30,Winter,Writing
301B,1530-1730,30,Spring,Writing
301C,1745-1945,30,Autumn,Writing
301C,845 -1045,30,Winter,Writing
342A,1745-1945,65,Autumn,Programming
342A,1745-1945,45,Winter,Programming
342A,1530-1730,45,Spring,Programming
342B,2000-2200,65,Autumn,Programming
342B,2000-2200,45,Winter,Programming
342B,2000-2200,45,Spring,Programming
343A,1530-1730,60,Autumn,Programming
343A,1530-1730,60,Winter,Programming
343A,1530-1730,45,Spring,Programming
343B,2000-2200,60,Winter,Programming
350A,1530-1730,60,Winter,Software Engineering
350A,1745-1945,45,Spring,Software Engineering
350B,1315-1515,60,Winter,Software Engineering
360A,1315-1515,45,Autumn,Software Engineering
360A,1530-1730,45,Winter,Software Engineering
360A,1745-1945,45,Spring,Software Engineering
360B,1745-1945,45,Autumn,Software Engineering
360B,1745-1945,45,Winter,Software Engineering
360C,1530-1730,45,Autumn,Software Engineering
370A,1315-1515,60,Winter,Software Engineering
370A,1530-1730,45,Spring,Software Engineering
370B,1745-1945,60,Winter,Software Engineering
422A,1530-1730,45,Autumn,Hardware
422A,1745-1945,45,Spring,Hardware
422B,1530-1730,45,Autumn,Hardware
422B,1315-1515,45,Spring,Hardware
427A,1745-1945,15,Winter,Computer Engineering
